scene,aoi_slug,pair_id,tile_idx,r2_mean,land_cover,land_cover_group,emit_b32_path,s2_path
lat32.0_lon-113.0_20251129_T12SUA_t088,aoi_lat32.0_lon-113.0,20251129T183941_T12SUA_20251202,88,0.8271939251571894,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile088_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile088_s2.tif
lat-21.0_lon14.5_20250124_T33KVS_t110,aoi_lat-21.0_lon14.5,20250124T093346_T33KVS_20250123,110,0.8583559039980173,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-21.0_lon14.5/20250124T093346_T33KVS_20250123/tiles/20250124T093346_T33KVS_20250123_tile110_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-21.0_lon14.5/20250124T093346_T33KVS_20250123/tiles/20250124T093346_T33KVS_20250123_tile110_s2.tif
lat-21.0_lon14.5_20250124_T33KVS_t121,aoi_lat-21.0_lon14.5,20250124T093346_T33KVS_20250123,121,0.8708437141031027,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-21.0_lon14.5/20250124T093346_T33KVS_20250123/tiles/20250124T093346_T33KVS_20250123_tile121_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-21.0_lon14.5/20250124T093346_T33KVS_20250123/tiles/20250124T093346_T33KVS_20250123_tile121_s2.tif
lat32.0_lon-113.0_20251129_T12SUA_t133,aoi_lat32.0_lon-113.0,20251129T183941_T12SUA_20251202,133,0.7587881349027157,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile133_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile133_s2.tif
lat-24.0_lon-69.5_20251124_T19KDP_t231,aoi_lat-24.0_lon-69.5,20251124T142919_T19KDP_20251123,231,0.9377804771065712,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile231_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile231_s2.tif
lat-24.0_lon-69.5_20251124_T19KDP_t123,aoi_lat-24.0_lon-69.5,20251124T142919_T19KDP_20251123,123,0.8378356415778399,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile123_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile123_s2.tif
lat27.0_lon13.5_20241001_T33RUL_t199,aoi_lat27.0_lon13.5,20241001T095533_T33RUL_20240930,199,0.9788224101066588,desert/oasis,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat27.0_lon13.5/20241001T095533_T33RUL_20240930/tiles/20241001T095533_T33RUL_20240930_tile199_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat27.0_lon13.5/20241001T095533_T33RUL_20240930/tiles/20241001T095533_T33RUL_20240930_tile199_s2.tif
lat30.05_lon2.88_20231203_T31RDP_t221,aoi_lat30.05_lon2.88,20231203T104832_T31RDP_20231205,221,0.914309771731496,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile221_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile221_s2.tif
lat32.0_lon-113.0_20251129_T12SUA_t119,aoi_lat32.0_lon-113.0,20251129T183941_T12SUA_20251202,119,0.9539795089513065,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile119_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon-113.0/20251129T183941_T12SUA_20251202/tiles/20251129T183941_T12SUA_20251202_tile119_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t158,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,158,0.843517454341054,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile158_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile158_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t089,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,89,0.8751559183001518,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile089_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile089_s2.tif
lat29.5_lon34.0_20250731_T36RXT_t139,aoi_lat29.5_lon34.0,20250731T084236_T36RXT_20250802,139,0.9063055478036404,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile139_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile139_s2.tif
lat30.05_lon2.88_20231203_T31RDP_t085,aoi_lat30.05_lon2.88,20231203T104832_T31RDP_20231205,85,0.8369559831917286,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile085_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile085_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t025,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,25,0.7687452472746372,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile025_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile025_s2.tif
lat-24.0_lon-69.5_20251124_T19KDP_t040,aoi_lat-24.0_lon-69.5,20251124T142919_T19KDP_20251123,40,0.8611045368015766,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile040_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.0_lon-69.5/20251124T142919_T19KDP_20251123/tiles/20251124T142919_T19KDP_20251123_tile040_s2.tif
lat-24.5_lon-70.5_20240902_T19JCN_t088,aoi_lat-24.5_lon-70.5,20240902T144151_T19JCN_20240902,88,0.9621745441108942,desert/coastal,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.5_lon-70.5/20240902T144151_T19JCN_20240902/tiles/20240902T144151_T19JCN_20240902_tile088_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-24.5_lon-70.5/20240902T144151_T19JCN_20240902/tiles/20240902T144151_T19JCN_20240902_tile088_s2.tif
lat30.05_lon2.88_20231203_T31RDP_t086,aoi_lat30.05_lon2.88,20231203T104832_T31RDP_20231205,86,0.7880482729524374,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile086_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile086_s2.tif
lat29.5_lon34.0_20250731_T36RXT_t063,aoi_lat29.5_lon34.0,20250731T084236_T36RXT_20250802,63,0.9781437702476978,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile063_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile063_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t059,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,59,0.909147696569562,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile059_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile059_s2.tif
lat29.5_lon34.0_20250731_T36RXT_t125,aoi_lat29.5_lon34.0,20250731T084236_T36RXT_20250802,125,0.8598448634147644,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile125_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile125_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t100,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,100,0.8292862065136433,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile100_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile100_s2.tif
lat32.0_lon58.5_20231204_T40SFA_t062,aoi_lat32.0_lon58.5,20231204T065632_T40SFA_20231204,62,0.8079331200569868,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon58.5/20231204T065632_T40SFA_20231204/tiles/20231204T065632_T40SFA_20231204_tile062_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat32.0_lon58.5/20231204T065632_T40SFA_20231204/tiles/20231204T065632_T40SFA_20231204_tile062_s2.tif
lat30.05_lon2.88_20231203_T31RDP_t127,aoi_lat30.05_lon2.88,20231203T104832_T31RDP_20231205,127,0.8162080757319927,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile127_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile127_s2.tif
lat30.05_lon2.88_20231203_T31RDP_t174,aoi_lat30.05_lon2.88,20231203T104832_T31RDP_20231205,174,0.9150764234364032,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile174_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat30.05_lon2.88/20231203T104832_T31RDP_20231205/tiles/20231203T104832_T31RDP_20231205_tile174_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t067,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,67,0.802283151075244,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile067_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile067_s2.tif
lat29.5_lon34.0_20250731_T36RXT_t121,aoi_lat29.5_lon34.0,20250731T084236_T36RXT_20250802,121,0.8202781118452549,desert/mountain,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile121_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat29.5_lon34.0/20250731T084236_T36RXT_20250802/tiles/20250731T084236_T36RXT_20250802_tile121_s2.tif
lat26.5_lon71.0_20250131_T42RYQ_t178,aoi_lat26.5_lon71.0,20250131T054659_T42RYQ_20250129,178,0.8613165412098169,desert,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile178_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat26.5_lon71.0/20250131T054659_T42RYQ_20250129/tiles/20250131T054659_T42RYQ_20250129_tile178_s2.tif
lat-23.5_lon-68.2_20251231_T19KEP_t043,aoi_lat-23.5_lon-68.2,20251231T142805_T19KEP_20260102,43,0.9009527247399092,salt_flat,arid,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-23.5_lon-68.2/20251231T142805_T19KEP_20260102/tiles/20251231T142805_T19KEP_20260102_tile043_emit_b32.tif,/Users/incredet/Library/CloudStorage/GoogleDrive-voitsitska.pn@ucu.edu.ua/Shared drives/HyperResData/EMIT_S-2_Matches/2026-04-02/aoi_lat-23.5_lon-68.2/20251231T142805_T19KEP_20260102/tiles/20251231T142805_T19KEP_20260102_tile043_s2.tif
